time,delta_f,delta_f_COI,P_BESS,P_Wind,SoH,Shortfall
298,0.316771796292381,0.311806440043966,19.010813272301,0.00915922406595285,0.799998289834292,-0.000266493062170525
299,0.316661639872129,0.311696250242155,19.0041760300059,0.00908364722343873,0.79999828455021,-0.000264488738082491
300,0.316552317304453,0.311586894534477,18.9975887143496,0.00900895622704584,0.799998279267965,-0.000262498918047527
301,0.316443822267848,0.311478366614742,18.9910509636946,0.0089351285829908,0.799998273987545,-0.000260523525312806
302,0.316336148516833,0.31137066022543,18.9845624183153,0.00886214277479917,0.799998268708936,-0.000258562482674307
303,0.316229289835362,0.311263769154413,18.9781227204585,0.00878997821700305,0.799998263432124,-0.000256615710494401
304,0.316123240069155,0.311157687239766,18.971731514344,0.0087186151786333,0.799998258157095,-0.000254683129554678
305,0.316017993098355,0.311052408360973,18.965388446212,0.00864803475783147,0.799998252883837,-0.000252764659187221
306,0.315913542850027,0.31094792644859,18.9590931643108,0.00857821886261258,0.799998247612335,-0.000250860217317239
307,0.315809883308665,0.310844235476515,18.9528453189346,0.00850915010798375,0.799998242342576,-0.000248969723084969
308,0.315707008484961,0.310741329463349,18.94664456244,0.00844081184947978,0.799998237074548,-0.000247093093342698
309,0.315604912452094,0.310639202476753,18.940490549241,0.00837318811523137,0.799998231808238,-0.000245230245216277
310,0.315503589323934,0.310537848624098,18.9343829358503,0.0083062635794076,0.799998226543632,-0.00024338109521338
311,0.315403033251976,0.310437262059104,18.9283213808534,0.00824002351935446,0.799998221280717,-0.000241545559710232
312,0.315303238439402,0.310337436981395,18.9223055449463,0.00817445381977023,0.799998216019481,-0.000239723553992377
313,0.315204199121266,0.310238367632681,18.9163350909359,0.0081095409017388,0.799998210759911,-0.00023791499349457
314,0.315105909596375,0.310140048297919,18.9104096837495,0.00804527171021537,0.799998205501995,-0.000236119794216449
315,0.315008364186642,0.310042473304795,18.9045289904304,0.00798163372302059,0.799998200245719,-0.000234337870207213
316,0.314911557270886,0.309945637026499,18.8986926801417,0.00791861486482743,0.799998194991072,-0.000232569137232019
317,0.314815483258513,0.309849533875989,18.8929004241981,0.00785620356127181,0.799998189738042,-0.000230813508579786
318,0.314720136612345,0.309754158308023,18.8871518960361,0.00779438860944799,0.799998184486615,-0.000229070900612527
319,0.314625511827382,0.309659504821219,18.8814467712109,0.00773315925765037,0.799998179236781,-0.000227341227624578
320,0.31453160344892,0.309565567955328,18.8757847274221,0.00767250517859427,0.799998173988527,-0.000225624403398683
321,0.314438406056899,0.309472342290024,18.8701654445093,0.00761241636414029,0.799998168741841,-0.000223920343319861
322,0.314345914272196,0.30937982244707,18.8645886044471,0.00755288321799181,0.799998163496711,-0.000222228961000326
323,0.314254122756208,0.309288003088182,18.8590538913341,0.00749389639652944,0.799998158253126,-0.00022055017344158
324,0.314163026225978,0.309196878915802,18.8535609913868,0.0074354470018694,0.799998153011073,-0.000218883893872146
325,0.314072619411049,0.309106444671337,18.8481095929726,0.00737752638735552,0.799998147770542,-0.000217230036781757
326,0.31398289709697,0.309016695137598,18.8426993865634,0.00732012615710355,0.79999814253152,-0.000215588519044019
327,0.313893854113945,0.308927625135869,18.8373300647422,0.00726323826271507,0.799998137293997,-0.000213959255631835
328,0.313805485316093,0.308839229525038,18.8320013222183,0.00720685490658576,0.799998132057961,-0.000212342161670875
329,0.313717785614426,0.308751503206728,18.8267128557981,0.00715096855182103,0.7999981268234,-0.000210737153093277
330,0.313630749933819,0.308664441116624,18.8214643644074,0.00709557189541125,0.799998121590304,-0.000209144145479456
331,0.313544373258734,0.308578038231078,18.8162555490488,0.0070406578400475,0.799998116358662,-0.000207563056559223
332,0.31345865060764,0.308492289564322,18.8110861128101,0.00698621956171672,0.799998111128463,-0.000205993802325111
333,0.313373577029952,0.308407190167043,18.8059557608669,0.00693225043008086,0.799998105899695,-0.000204436299526378
334,0.313289147618234,0.308322735128436,18.8008642004634,0.00687874402584383,0.799998100672348,-0.000202890465089922
335,0.313205357495233,0.30823891957395,18.7958111409222,0.00682569410472706,0.799998095446411,-0.0002013562165466
336,0.313122201823729,0.308155738667376,18.7907962936109,0.00677309458842161,0.799998090221873,-0.000199833472755984
337,0.313039675813792,0.3080731876069,18.7858193719451,0.00672093961777387,0.799998084998725,-0.000198322151760522
338,0.312957774695266,0.307991261627555,18.7808800913774,0.00666922349276536,0.799998079776954,-0.000196822171677269
339,0.312876493741887,0.307909956001817,18.7759781693976,0.00661794067746872,0.799998074556552,-0.000195333451017632
340,0.312795828262824,0.30782926603532,18.7711133255193,0.00656708575312012,0.799998069337507,-0.000193855910197271
341,0.312715773603345,0.307749187073059,18.7662852812542,0.00651665349170871,0.799998064119809,-0.000192389468328003
342,0.312636325142007,0.307669714489933,18.7614937601304,0.0064666387741655,0.799998058903449,-0.00019093404614523
343,0.312557478284475,0.307590843700012,18.7567384876558,0.00641703665283721,0.799998053688415,-0.000189489563087619
344,0.312479228495055,0.307512570151069,18.7520191913242,0.00636784225644766,0.799998048474699,-0.000188055941617193
345,0.312401571243826,0.307434889322955,18.7473356006045,0.00631905090781167,0.799998043262289,-0.000186633101279199
346,0.312324502053674,0.307357796732727,18.7426874469201,0.00627065796243265,0.799998038051177,-0.000185220965626343
347,0.312248016475936,0.307281287929484,18.7380744636471,0.00622265895950224,0.799998032841352,-0.00018381945581325
348,0.31217211009103,0.30720535849646,18.7334963860997,0.0061750495310709,0.799998027632805,-0.000182428494145626
349,0.312096778516896,0.307130004051243,18.7289529515265,0.00612782535300384,0.799998022425525,-0.000181048005291728
350,0.31202201741225,0.307055220241803,18.7244438990768,0.00608098229280163,0.799998017219504,-0.000179677911628318
